key,comment.id,comment.author,comment.body,comment.created,comment.updated
BEEHIVE-288,59050,2ed5279e,"In case this is helpful while trying to resolve the issue, here are some things that I have noticed: if the name and the path are the same, then the duplicate is ignored; if the paths differ then you get errors.

---
    @Jpf.Action(
        forwards = {
            @Jpf.Forward(
                name = ""pg1"",
                path = ""Pg1.jsp""),
            @Jpf.Forward(
                name = ""pg1"",
                path = ""Pg1.jsp"")
        })
    protected Forward page1()
        {
        return new Forward(""pg1"");
        }
--- compiles fine

--- 
    @Jpf.Action(
        forwards = {
            @Jpf.Forward(
                name = ""pg1"",
                path = ""Pg1.jsp""),
            @Jpf.Forward(
                name = ""pg1"",
                path = ""Pg2.jsp"")
        })
    protected Forward page1()
        {
        return new Forward(""pg1"");
        }
--- results in ...
      [apt] Compiling 11 source files to /home/jjohnson/projects/.../webapp/WEB-INF/classes
      [apt] /home/jjohnson/projects/.../webapp/WEB-INF/src/admin/Controller.java:102: Duplicate Forward tag with name=""pg1"".
      [apt]     protected Forward page1()
      [apt]                       ^
      [apt] /home/jjohnson/projects/.../webapp/WEB-INF/src/admin/Controller.java:102: Duplicate Forward tag with name=""pg1"".
      [apt]     protected Forward page1()
      [apt]                       ^
      [apt] 2 errors
---

- jeremiah",2005-02-12 08:14:56,2005-02-12 08:14:56
BEEHIVE-288,59051,653f8212,"Right, the problem is with the implementation of Sun's Mirror APIs within apt (the annotation processing tool).  Because it's not always the case that someAnnotation.equals(anotherAnnotation), where someAnnotation and anotherAnnotation are actually the *same*, just retrieved different ways... I have a workaround that compares annotations by recursively comparing all their attributes.  So I can't distinguish between the two totally-duplicated annotations.

I think my action on this will be to file a bug with Sun, but I first need to check if this was fixed in the latest JDK update.",2005-02-12 08:32:43,2005-02-12 08:32:43
BEEHIVE-288,59485,653f8212,"Fixed with revision 154639.  This was actually due to a bug in Sun's Mirror implementation (the same annotation retrieved in different ways does not equal itself), but I found a workaround.",2005-02-21 16:55:19,2005-02-21 16:55:19
BEEHIVE-288,59872,ebdf2539,Please verify.,2005-03-01 04:08:14,2005-03-01 04:08:14
BEEHIVE-288,65787,ebdf2539,Please verify.,2005-05-20 07:39:20,2005-05-20 07:39:20
BEEHIVE-288,65904,6843410f,Verified at rev171061. It now generates compiler error for both cases.,2005-05-21 14:54:01,2005-05-21 14:54:01
JS1-511,37884,43c263a7,Fixes applied,2004-08-28 21:31:30,2004-08-28 21:31:30
XALANC-524,66875,658e9ff4,"My apologies for opening this issue.  I was thinking that the 'clone'
feature of JIRA would allow me to file an identical issue against
XalanJ.

This issue con be closed.",2005-06-03 03:02:57,2005-06-03 03:02:57
XMLBEANS-102,59053,90b205b8,fixed with revision 153473,2005-02-12 10:02:41,2005-02-12 10:02:41
XMLBEANS-102,63242,97e91f10,was able to repro this on rev # 161822,2005-04-20 08:48:24,2005-04-20 08:48:24
XMLBEANS-102,63728,7c545b21,"Give it one more try, using File.getCanonicalPath() to detect this situation. SVN revision 164687.",2005-04-26 10:33:38,2005-04-26 10:33:38
XMLBEANS-102,12313184,a0177c34,"Verified:

Downloaded attached schema, netui-config.xsd, and invoked
scomp.cmd netui-config.xsd -d .\ -out netui-config.jar

Result:
